Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Norway,26/2/2020,14/3/2020,29/2/2020,4/3/2020,6/3/2020,0.054025106,0.1768002670162281,13.267806475227944,17.058538625341306,5.296726959,5.224426793296673,0.7313951268860897,2.293100638,11.883089584068966,0.13211418877800002,0.096450495,0.3628955613768688,15.198932798897689,14.83,116,174,1055,0,948,45,105,126,384,341,80,5,60,56,4,97,67,282,29,406,57,2330,38.58,,3751,1040,793,46.33600000000001,12/3/2020,,,82.1,39.5,0.85,12.2,8.1,4,2,2.5,82.1,1.84,23.1,15,12,8,-2,74,57,60,64
Oman,24/2/2020,31/3/2020,3/3/2020,21/3/2020,26/3/2020,0.099536923,0,13.568191707773902,4.726377379260941,9.952884278,2.126395227201632,0.7571191245239275,3.720126863,8.964624363008172,0.27906617622900004,0.12836817090398508,1.4420543514450417,27.051768136733003,8.19,5,33,589,0,1158,31,46,404,194,276,6,8,19,38,30,48,22,264,11,238,100,2342,15.8,0.11,556,195,192,19.697,15/3/2020,99,5,76.3,26.2,1.96,23.1,3.3,-0.4,19,11.7,76.3,2.76,27,20,12,-6,-16,91,55,63,81
Pakistan,26/2/2020,19/3/2020,10/3/2020,15/3/2020,16/3/2020,0.099479408,0.21556529889863227,11.21221695297333,6.867850005,5.320544954690001,2.888306099970356,1.9449886393328653,13.76855848,3.0659509930170143,2.811941671,0.8466691986583637,2.7278738703454324,36.49452826791105,9.11,0,117,534,0,1086,13,3,30,72,324,1,6,30,63,13,33,6,243,6,246,23,1792,6,0.099,2239,4951,2722,9.753,14/3/2020,85,5,69.2,22,2.07,27.4,6.2,-0.9,140,52.3,69.2,3.6,8.6,17,4,-1,-5,79,57,70,75
Panama,10/3/2020,11/3/2020,12/3/2020,16/3/2020,19/3/2020,0.11990732218007245,0.24971210706504823,11.049055146384887,9.716845072058307,8.909077872,3.1946311940869814,1.4032220521873222,5.956933149939999,5.8792706065571485,3.60385957,0.512880016,2.072415836768088,23.173888770191393,8.18,103,131,608,0,1209,22,34,136,225,185,21,11,37,50,2,39,20,352,8,229,26,2232,23,0.18,423,391,209,15.699000000000002,12/3/2020,99,5,79.2,30.1,1.2,17.1,5.1,-0.1,52,9.1,79.2,2.23,22.7,2,0,-4,1,71,70,72,76
Papua New Guinea,20/3/2020,,,,,0,,17.23643699824319,4.6022789730351485,6.705332564780001,9.935073325324655,1.1376020758655632,15.46155775,2.5374867257846803,1.290123557,1.5823243438970471,2.9762485605627798,114.60500377831215,12.33,,,,,,,,,,,,,,,,,,,,,,,,0.096,36,18,24,0.529,23/3/2020,65,5,67.8,24,1.6,22.5,6.7,0,145,33.2,67.8,2.84,21.3,3,,,,,80,,
Paraguay,8/3/2020,21/3/2020,18/3/2020,27/3/2020,,0.068057626,0,12.62083725981716,8.959139186957689,8.696756991,2.9623789687611537,1.2499243662884043,5.3963557714100014,6.809456162350871,0.8050341057699999,0.5370999079845054,2.4629339500684435,26.84673725278323,13.18,100,65,514,0,867,43,8,62,251,128,5,18,45,77,1,390,26,275,0,345,33,2226,13,0.25,356,429,157,13.66,11/3/2020,99,5,77.9,29.7,1.16,16.6,4.9,-0.1,84,16.9,77.9,1.89,20.3,3,-7,-16,-10,81,68,78,87
Peru,6/3/2020,20/3/2020,10/3/2020,16/3/2020,17/3/2020,0.14559204264147238,0.31281897926634766,7.988682713002125,9.775195333050007,6.153103536,3.394327698862661,2.09807382,9.31225199,6.893202832453048,1.084595693,0.925847289,2.147687083,52.26980204434529,5.05,86,10,321,0,1179,32,49,193,112,103,3,15,42,83,2,376,10,236,3,173,62,2448,16,,8804,2679,1382,12.7,16/3/2020,91,5,74.7,29.1,0.92,17,6.2,-1.8,88,16.7,74.7,2.04,19.7,10,6,0,-4,80,66,70,76
Philippines,30/1/2020,2/2/2020,8/3/2020,12/3/2020,14/3/2020,0.22405351750372396,0.12261100134356832,17.304159037256483,7.480225105819239,7.823746049,5.100454905890986,1.2269556076675383,10.32136491,5.381219740829152,3.9657799971699994,1.108186907,1.3895511226827684,128.35714198424589,14.19,58,74,413,0,1525,16,52,140,238,23,2,10,29,12,4,87,12,218,10,115,49,2261,5,0.12,2500,3362,3611,12.75,16/3/2020,80,5,70,24.1,1.52,22.9,6,-1.8,121,20,70,2.92,6.4,46,8,4,43,33,30,68,72
Poland,4/3/2020,12/3/2020,8/3/2020,13/3/2020,14/3/2020,0.13381300128578857,0.24157349312075493,22.054016122352923,18.80450691,4.843431289,3.7986854307613225,2.017015011,2.0431037774400003,7.474615868379715,0.198716418,0.099276035,0.3271146291208686,16.325209772517905,19.52,201,292,1030,0,1132,26,36,75,448,227,0,1,15,19,3,187,6,441,12,319,85,2496,65,0.15,5954,4812,6051,23.998,16/3/2020,94,5,78.3,41.9,-0.19,8.9,10.6,-0.3,2,4.3,78.3,1.38,23.1,12,8,3,4,72,64,68,73
Portugal,2/3/2020,17/3/2020,6/3/2020,11/3/2020,13/3/2020,0.13405193772616444,0.18525237726669616,15.559998246652892,17.925236085792278,6.859945929,4.830245500349349,1.7269897375233572,3.0615797207599997,11.119167550810065,1.4349622909500002,0.2526746989690046,0.5229900409612528,24.734217318210288,10.68,214,254,1076,0,971,33,95,162,415,266,3,13,13,32,3,123,50,253,28,464,99,2415,33.95,,5758,1677,1746,33.356,16/3/2020,32,5,81.1,44.6,-0.25,8.1,10.8,0.3,8,2.6,81.1,1.41,20.8,14,10,5,-1,77,62,66,71
Qatar,29/2/2020,28/3/2020,8/3/2020,11/3/2020,11/3/2020,0.091685245,0.3,7.122640908102242,5.137115205310406,8.909613998,2.9404718641819168,0.9871690831190671,2.1671648124700003,12.106302705678216,0.162252383,0.038164203,0.8227035213173293,19.136201924099158,7.24,,,,,,,,,,,,,,,,,,,,,,,12,,67,81,128,0.008,10/3/2020,97,5,79.4,33.7,1.55,9.3,1.6,6.5,9,5.7,79.4,1.88,35.1,10,2,-1,-18,88,60,68,71
Romania,26/2/2020,22/3/2020,8/3/2020,13/3/2020,14/3/2020,0.1348474204630277,0.28839277887774767,30.37586870020587,15.842704167410119,3.639497084,3.5040123313359044,3.6370050569205024,2.706427984,6.606261640413605,0.589812393,0.10010189803123083,0.9740856998402456,22.20437574391961,15.84,149,153,927,0,1258,56,12,126,266,430,8,10,15,20,23,183,27,283,18,359,128,2597,62.7,0.75,9157,2389,1854,22.586,11/3/2020,98,5,76,42.5,-0.37,8.5,12,-0.2,19,8.7,76,1.38,22.5,14,3,-2,-11,82,57,68,73
Russia,31/1/2020,19/3/2020,6/3/2020,14/3/2020,17/3/2020,0.2282241438708121,0.44594226579520696,30.240529820082983,11.626393356084955,3.2562603595599997,2.348089706754948,2.9015974636163477,2.8619903734300003,4.7153338564597815,2.364939121,0.2992586005369005,0.41167543700572456,18.008591286116346,16.29,137,143,858,0,1125,61,47,76,325,270,2,12,19,24,2,206,14,460,3,357,78,2503,81.75,,23842,28894,38050,40.139,11/3/2020,96,5,71.9,40.3,-0.16,10,13.4,1.7,17,6.5,71.9,1.6,23.1,40,5,-3,-8,79,31,66,74
Rwanda,14/3/2020,,20/3/2020,26/3/2020,,0.077821654,,4.452543607766881,4.613905866,3.0726788590100003,2.373965927793875,1.899604466054176,20.36261826,2.237561723715214,8.876958247,5.113029263579934,4.169704956310957,94.71179797,5.41,38,5,105,0,418,1,14,390,41,39,1,4,35,335,2,731,1,63,0,75,21,2110,16,,42,25,15,1.3459999999999999,16/3/2020,99,5,65.1,19.7,2,27.9,6.1,-3.3,248,28,65.1,3.52,5.8,2,-4,-10,,,74,80,86
Saint Kitts and Nevis,25/3/2020,,,,,0.4613095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,
Saint Lucia,14/3/2020,,31/3/2020,,,0.40740740740740744,,16.259904970893153,12.630192964898336,11.367319033800001,3.7184909139564137,1.5628878538874056,3.869293678,6.079837775200042,1.170835081,0.2939875451105115,1.3859938298347354,28.67382380577302,8.46,136,56,779,0,817,13,65,107,475,156,23,14,46,59,18,66,19,396,10,142,42,1881,13,1.65,20,15,7,1.053,16/3/2020,99,5,78.5,36.9,0.29,12.5,8.1,-1.7,117,10.1,78.5,1.73,19.7,2,-15,,,,74,91,
Saint Vincent and the Grenadines,14/3/2020,,,,,0.16666666666666666,,18.030577351629013,12.428992730421092,12.78749549,2.475675852915816,1.339361737173161,4.1817723395599975,5.074455342497811,2.922728885,0.18617386441544287,1.8868899075941319,34.86638718664181,6.9,108,16,605,0,1011,17,33,210,390,142,30,7,15,79,35,139,32,416,8,217,55,2355,26,0,4,8,2,6.5870000000000015,16/3/2020,99,5,76.2,35.3,-0.22,12.6,7.6,-7.2,98,11,76.2,1.76,23.7,2,,,,,74,,
San Marino,27/2/2020,3/3/2020,3/3/2020,10/3/2020,15/3/2020,0.015915428160087952,0.062971473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,58,63,70
Saudi Arabia,2/3/2020,24/3/2020,8/3/2020,13/3/2020,14/3/2020,0.093351778,0.41597222222222224,13.199557277785974,5.643995227984751,8.263903983,2.56107354,1.1135845899450876,3.359286438,9.406977809820015,0.6772322490389999,0.079047144,0.5030341102673137,29.459516859332137,5.88,0,50,485,0,1499,26,21,209,214,169,19,5,15,50,26,34,32,297,17,463,49,2710,26.5,0.013999999999999999,,,,23.9,9/3/2020,98,5,76.2,30.8,1.6,14.7,3.4,4.7,17,11.3,76.2,1.95,35.4,7,1,-4,-15,84,62,68,73
Senegal,2/3/2020,1/4/2020,13/3/2020,22/3/2020,26/3/2020,0.086311121,0,6.726509682710852,4.661658516674813,4.651310879,2.225080651149745,0.9181427271767422,20.61652776,2.5895332770663204,4.861978468809999,3.874034354861029,4.943972885748289,88.06121544017486,2.81,4,10,144,0,1598,6,31,24,66,25,1,5,67,39,6,60,5,169,6,430,60,2468,3,,38,57,42,0.6920000000000001,16/3/2020,95,5,63.2,19.4,2.31,31.8,7.6,-1.3,315,45.7,63.2,4.04,8.8,14,3,-6,-16,92,62,73,82
Serbia,6/3/2020,20/3/2020,11/3/2020,16/3/2020,19/3/2020,0.17580247942786772,1.7313186813186814,30.348213721566342,18.30551718913892,6.1567957165900005,3.9492411143238018,1.113474112494963,1.414952514,6.665327576326067,0.131261647,0.090232499,0.4540381025546407,10.489370843149658,20,144,62,737,0,1124,36,13,118,353,261,1,12,22,25,3,70,33,293,16,150,68,2067,56.54,0.24,,1317,,31.25,16/3/2020,98,5,76.3,43.4,-0.47,8.8,13.5,0,12,5.6,76.3,1.46,21.5,10,5,0,-4,80,66,71,76
Seychelles,14/3/2020,,31/3/2020,,,0.06547619,,17.969245149166767,14.106179302170682,9.242428989,3.5692762340659616,2.841575932662463,6.526868731,6.264692834121004,1.7777406735699999,0.2630634595232989,0.6953848852872906,80.25998144338033,11.53,,,,,,,,,,,,,,,,,,,,,,,36,1.08,22,6,4,9.458,16/3/2020,99,5,75.6,36.8,0.69,12.8,7.1,1,,9.3,75.6,1.83,14,2,-15,,,,74,91,
Sierra Leone,31/3/2020,,,,,0.5,,5.334822664493659,2.489542346,3.696237549,1.3888672802099953,0.7972617403311242,24.250145713200002,1.5930556031324197,5.142019733,19.05285261184021,4.610687980552785,141.29411137478496,3.37,5,2,128,0,1349,5,43,42,33,43,4,3,62,87,6,347,2,50,10,323,34,2321,4,,5,3,1,0.25,31/3/2020,90,5,59.8,19.1,2.43,35.4,9.8,-1.2,1120,63.6,59.8,4.62,8.7,0,,,,,91,,
Singapore,23/1/2020,21/3/2020,30/1/2020,12/2/2020,29/2/2020,0.061975024,0.13888888888888887,14.063554729810555,13.34419377907548,6.5527511186000025,3.0105718767370084,0.8833545019135611,5.002598931,12.489449414935914,0.47877232222800004,0.157381644,0.8524137944138862,42.39261700499017,12.2,,,,,,,,,,,,,,,,,,,,,,,24,,1019,304,375,23.063000000000002,,99,5,86,35.6,1.73,8.9,3.6,11.8,8,2.3,86,0.87,6.1,,,,,81,23,30,43
Slovakia,6/3/2020,18/3/2020,11/3/2020,15/3/2020,18/3/2020,0.079698923,0,24.577564405118128,17.367240573656236,4.785883535,2.854960247803954,2.849616710233323,2.5416194020900003,8.248672092005433,0.05769267,0.11786122863265222,0.3109593325022315,20.72376877344611,15.69,157,432,916,0,591,50,18,69,242,164,4,10,29,13,5,94,33,231,15,565,47,1853,57.5,0.95,1001,961,1136,24.643,16/3/2020,90,8,77.8,41.8,-0.05,9.3,10.1,0.2,5,4.9,77.8,1.44,20.5,10,5,1,-2,78,66,71,75
Slovenia,5/3/2020,14/3/2020,8/3/2020,11/3/2020,13/3/2020,0.060201461,0.11986531986531986,17.155087330387722,18.635227798102946,4.87745553,3.5351729464537684,2.419465125510209,1.69997526,9.076598982,0.064751525,0.1051865204717416,0.3260019685212581,12.263283916734204,14.96,143,226,870,0,1151,39,22,170,294,278,13,10,24,19,9,96,72,222,41,296,71,2326,45.54,0.097,853,415,431,29.95300000000001,16/3/2020,96,16,81.4,44.9,0.01,8.7,10.3,1.5,7,1.7,81.4,1.59,20.2,11,8,5,2,74,65,68,71
Somalia,16/3/2020,,,,,0.11111111111111112,,5.266008311804714,3.4208464972031325,2.818966547,1.4861388538359688,0.8930042616075499,26.673343462600002,1.3344822539246883,8.907297719159997,1.8221362888636283,5.221037642857167,127.1747509237354,3.4,,,,,,,,,,,,,,,,,,,,,,,8.7,,15,5,1,0.22899999999999998,18/3/2020,39,5,54,18.5,2.21,38.7,12.4,-3.8,829,89.5,54,5.51,8.3,2,,,,,76,,
South Africa,5/3/2020,27/3/2020,11/3/2020,15/3/2020,18/3/2020,0.038092355,0.36111111111111116,6.737979678977211,4.991918752422572,6.227766151,3.049921095927933,0.5676119397807349,7.801012186989999,2.6333252678891297,36.47463754,0.4055425413119036,1.2384237232266977,66.66391612005019,6.11,137,13,456,0,1557,26,11,31,308,82,0,17,27,16,5,63,7,341,2,316,36,2538,28,0.027000000000000003,3453,1631,1143,9.101,18/3/2020,69,5,64.8,28,0.97,19.2,9.3,-0.2,119,27.8,64.8,2.22,28.3,13,7,3,-9,87,65,71,75
Spain,1/2/2020,3/3/2020,26/2/2020,1/3/2020,2/3/2020,0.093086878,0.12401399306364491,14.413956685485113,18.724551070544006,5.9233004122500015,5.038821007117723,1.587840676964866,1.899160782,10.754555265151577,0.5694829990320001,0.1521272586812935,0.5077744639314616,10.305537940847763,15.49,158,66,862,0,784,53,85,120,390,258,0,9,35,46,1,104,23,315,46,679,97,2408,29.65,0.16,10673,4018,4869,40.691,16/3/2020,,,82,43.9,0.67,8.7,9.3,7,4,3.2,82,1.51,23.8,44,19,15,13,63,32,57,61
Sri Lanka,27/1/2020,28/3/2020,14/3/2020,18/3/2020,24/3/2020,0.061921292,0.36666666666666664,17.1330162,8.120481921977168,10.57131603,6.169326449367879,2.239314453068132,4.352452813419999,7.038717783746532,0.5058638755439999,0.5525489569523977,1.4811320861440986,24.76786134463623,10.2,11,3,197,0,1410,17,62,81,32,80,1,3,302,92,45,69,5,281,9,59,51,2416,35.1,,118,129,128,9.58,13/3/2020,99,5,77.5,33.7,0.67,14.2,6.5,-1.3,36,7.8,77.5,2.01,5.2,46,-1,-5,-15,88,27,74,78
Sudan,13/3/2020,13/3/2020,,,,0.19603174603174603,0.16666666666666666,11.906124269074875,3.2574564138716715,5.1014562012999995,2.115234397231696,0.7158586431035479,9.405080956,3.848904671265621,2.214154013,1.8473146993448573,2.767432437161009,31.18599476896416,1.34,0,21,388,0,1111,5,2,116,121,230,1,9,59,101,4,43,3,308,0,229,64,2045,8.2,0.034,300,500,250,4.1,16/3/2020,88,5,66.5,18.3,2.69,33.8,6.5,-0.4,295,41.8,66.5,4.72,6.6,3,,,3,73,73,,
Suriname,14/3/2020,,1/4/2020,,,0.039351852,,16.580111498864404,9.191995698296452,9.795788791,2.9887694574109687,1.8717533997753968,5.547563753,4.755931827095052,1.969782749,0.6550833033050512,1.373875082553642,36.04272088389406,11.06,78,11,334,0,1121,22,32,138,207,60,22,2,57,19,2,64,17,409,3,367,60,2359,31,0.19,,,,12.265,16/3/2020,,,73.3,31,0.95,14.9,6.2,0.5,120,22.1,73.3,1.86,26.4,2,-16,,,,74,92,
Sweden,31/1/2020,11/3/2020,29/2/2020,5/3/2020,6/3/2020,0.10453860134050903,0.2040415323114355,17.249288174860887,16.876220081448153,5.489909772280001,5.245567734770662,0.992748383,2.126529288,10.620108561097792,0.105412388,0.002059155,0.3860460248621421,11.266520331777725,14.47,148,241,1062,0,887,53,59,102,338,371,12,1,30,16,8,99,21,339,29,398,69,2157,25.94,,3909,1364,1650,53.996,18/3/2020,24,5,82.4,41.1,0.79,12.1,9.4,5.2,4,2.6,82.4,1.87,20.6,47,18,13,7,71,31,60,65
Switzerland,25/2/2020,5/3/2020,29/2/2020,3/3/2020,5/3/2020,0.064756506,0.15123283675821433,12.909108940834713,16.54834038747641,5.2551334807800005,4.2263946994038415,1.112683244100543,1.7304156102400001,14.899467092445633,0.215671543,0.004137372,0.6093656549870404,7.988812989,15.11,159,165,1061,0,802,40,30,132,422,395,0,8,19,17,6,74,14,539,65,457,68,2353,46.77,,4091,1699,1431,42.363,16/3/2020,,,82.8,42.7,0.66,10.5,8.5,4.6,5,3.5,82.8,1.57,19.5,20,16,13,11,65,56,60,63
Syria,22/3/2020,29/3/2020,30/3/2020,,,0.2518518518518519,0.25,13.293618780971567,3.4658757900621016,3.783579771,2.2561544408834706,0.6480597749651921,2.542354294,4.139968426536186,0.053872121,0.3004636928274176,1.1929507889718138,17.369111734310806,7.77,,,,,,,,,,,,,,,,,,,,,,,15,,,,,12.2,16/3/2020,66,5,73.7,23.5,4.25,23.8,4.5,27.1,31,16.5,73.7,2.9,27.8,-6,-14,,-13,89,82,90,
Taiwan*,22/1/2020,16/2/2020,31/1/2020,13/3/2020,18/3/2020,0.040699352,0.25,13.13704109,19.426238808618837,11.42978151,6.428340623684628,2.8635343372451736,2.9883264605299997,8.113715754,0.500061219,0.18100860996166604,0.3156637745340669,34.045501567117626,15.76,76,62,652,0,918,54,45,124,416,68,5,6,114,25,12,27,16,290,42,564,110,2324,,,,,,,,,,80.6,42.3,0.11,8,7.9,0.8,,4.2,80.6,1.14,,,,,,47,22,31,73
Tanzania,16/3/2020,31/3/2020,22/3/2020,,,0.081116252,0,4.704879322848675,4.079725502674268,3.1356436930299996,1.6651628195577821,0.8730463258442853,19.18641821,1.9050941703535809,12.86284541,6.160551500804369,4.612806675435098,95.96357262,4.3,51,15,131,0,978,1,14,120,44,57,0,0,107,234,3,363,1,116,4,257,31,2265,7,,100,50,6,0.39899999999999997,19/3/2020,99,5,63.9,18.2,2.71,34.6,7.1,-0.4,524,36.4,63.9,4.59,8.4,3,-3,,-12,91,76,82,
Thailand,22/1/2020,1/3/2020,28/1/2020,7/3/2020,15/3/2020,0.087255549,0.20224867724867726,12.24442240772709,13.092358847521785,8.042031699330003,3.489261032485072,2.8229059115370823,5.6291743392699995,8.402783207416107,3.6195157140800007,0.7131936531564455,0.7123071663428541,40.580074731140755,12.21,121,19,362,0,1311,51,65,104,174,48,1,4,75,24,60,60,4,437,6,230,33,2465,21,0.13,4284,3154,1523,8.096,18/3/2020,99,5,75.6,39,0.25,10.7,8.3,0,37,8.6,75.6,1.54,10,56,50,11,17,61,22,28,67
Timor-Leste,22/3/2020,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,
Togo,6/3/2020,27/3/2020,21/3/2020,,,0.079248366,0.16666666666666666,6.055116821137122,3.25985178,3.689076853570002,1.8780831845826844,0.8057481484476251,15.2692206,2.3787312296527077,9.711309652979999,15.044175200865359,3.3610794028119533,100.96982408829905,2.89,14,5,99,0,1131,3,19,10,54,15,8,2,40,147,5,513,3,137,0,304,19,2330,7,0.088,20,10,6,0.48700000000000004,20/3/2020,86,5,66.6,20,2.56,32,6.5,0,396,38.5,66.6,4.22,8.4,14,-1,,-7,87,66,81,
Trinidad and Tobago,14/3/2020,25/3/2020,21/3/2020,22/3/2020,,0.061075173,0.19444444444444445,18.26583337327853,10.222079222445732,16.88115109,2.674168059259811,1.2221881037014608,2.709871594,5.600620171347295,2.475050005,0.23401890286489035,1.0553572021534372,20.10539431006402,8.91,54,85,608,0,1121,16,43,76,282,177,23,6,65,87,23,73,11,557,12,290,41,2435,30,,247,99,75,26.697,14/3/2020,,,73.9,37.8,-0.3,11.4,9.1,-5.4,67,20.1,73.9,1.7,18.6,0,-7,-8,-11,85,74,81,82
Tunisia,4/3/2020,19/3/2020,13/3/2020,20/3/2020,24/3/2020,0.12650774228918973,0.15833333333333333,21.555933384089734,8.201980213078347,9.210292407,3.682545249,0.9187256161512776,3.204203311,8.976773432212024,0.4155523962830001,0.093642296,0.6225239645485774,16.20762271552945,16.09,17,47,402,0,1661,27,24,135,117,181,2,5,36,70,17,60,11,350,51,490,164,3066,22.9,0.27,327,695,255,12.722000000000001,16/3/2020,97,5,76.3,32.7,0.85,15.9,6.4,-1.4,43,11,76.3,2.06,26.9,12,3,-4,-3,79,64,73,80
Turkey,11/3/2020,17/3/2020,16/3/2020,18/3/2020,19/3/2020,0.21401145919009787,0.2537865596105859,15.507205808014538,12.517462871437681,8.928435691,5.795282334181263,0.7386352552536283,2.818221297,9.863435568229027,0.202564479,0.055985237,0.9043443555986336,13.71736690377376,19.43,22,66,538,0,1366,30,9,162,151,278,2,5,49,122,21,91,7,309,76,620,154,3002,26.56,0.32,6104,6865,5983,17.605,16/3/2020,95,5,75.7,32.2,0.45,14.8,6.1,-4.3,17,15.8,75.7,1.96,32.1,5,0,-2,-1,77,71,76,78
US,10/3/2020,10/3/2020,10/3/2020,10/3/2020,10/3/2020,0.16419421105004245,0.2797310648450042,15.48638110304088,14.57841756185009,7.7599797421000005,5.963347226711477,1.7382976515488309,2.2434704720700003,9.611193919669503,0.476042386,0.063123654,0.28476399390072754,15.866288638654867,15.02,161,98,1026,0,812,59,36,134,460,371,0,1,68,35,8,94,22,603,36,699,70,2740,29,,114679,40123,46446,25.948,28/2/2020,,,80.3,38.5,0.72,12.4,8.3,3,19,5.3,80.3,1.84,36.2,-11,-11,-11,-11,70,70,70,70
Uganda,21/3/2020,,25/3/2020,,,0.12673473869126042,,3.5228512017429616,4.3716867002172055,2.650779306,1.5198471106090323,0.8632549114353625,17.619960881500003,1.6763968561065958,15.215428523699998,11.51627057888935,3.5410746113203864,80.36576828432558,2.35,77,8,165,0,594,3,21,286,64,65,1,4,73,239,1,375,1,114,0,198,21,1980,5,0.005,204,124,17,0.9079999999999999,20/3/2020,93,5,68.2,15.7,3.34,42.3,5.3,-3.5,375,32.6,68.2,5.54,5.3,-1,-5,,,,81,85,
Ukraine,3/3/2020,13/3/2020,17/3/2020,22/3/2020,25/3/2020,0.19567982389071217,0.2992123345064522,35.974467839143344,12.225489338132556,2.958392588,2.1108171262031283,3.678523248041224,1.7775777301199998,5.214217043099373,2.421136903,0.094228427,0.2647562389875822,16.491498486313137,17.06,93,78,600,0,1219,55,21,70,205,233,1,7,2,18,2,241,11,411,13,246,110,2435,87.98,,,12745,,30.075,12/3/2020,39,5,72.9,41.2,-0.1,9.6,14,2.3,19,7.4,72.9,1.56,24.1,9,-5,-10,-1,73,63,77,82
United Arab Emirates,29/1/2020,20/3/2020,22/2/2020,10/3/2020,18/3/2020,0.16934433578310312,0.2833333333333333,11.278292575933467,7.944101298840108,8.792682494,5.4328577803559295,0.7084667402785485,2.5718694761500003,9.565432003548725,0.39435391752300003,0.028202851934011237,0.6859532261852356,46.18986168715821,9.14,0,64,596,0,1409,29,41,176,248,207,16,8,64,253,40,26,7,370,78,236,95,2770,11.5,,,,,23.94400000000001,8/3/2020,96,5,79,38.4,1.49,9.5,2,7.6,3,5.3,79,1.73,31.7,39,15,-2,-12,80,29,53,70
United Kingdom,31/1/2020,5/3/2020,24/2/2020,3/3/2020,5/3/2020,0.1263042862247705,0.15902411322929016,14.392086903116555,18.266854401523968,4.2879307868800005,6.6779137018954655,1.4413366585100966,3.134132719,11.434200154768055,0.14559045643500002,0.078985243,0.5041462748755976,24.40412892475345,15.43,152,107,975,0,920,43,36,136,450,332,20,7,38,35,11,177,52,364,22,457,69,2453,27.58,,21684,12431,6080,28.058000000000003,20/3/2020,,,81.1,40.6,0.49,11.9,9.5,2.5,7,4.1,81.1,1.86,27.8,49,25,17,15,65,31,55,63
Uruguay,14/3/2020,29/3/2020,17/3/2020,18/3/2020,21/3/2020,0.067718656,0.5,15.424930192421362,19.00615705678309,5.935960479319999,4.842926218663896,1.1553848805498441,3.2008382425999997,8.057047334695842,0.974250001,0.043619862,0.9001300251377256,24.228297933664226,14.39,85,68,768,0,1118,42,18,88,329,305,9,6,37,27,2,100,30,465,3,367,54,2384,28,0.41,400,600,330,50.498999999999995,16/3/2020,98,5,77.9,35.5,0.27,12.9,9.3,-0.9,17,7.8,77.9,1.77,27.9,2,-1,-2,-13,89,74,77,78
Uzbekistan,15/3/2020,27/3/2020,17/3/2020,24/3/2020,28/3/2020,0.15674007854023222,0.16666666666666666,26.112203832350502,6.382199122726152,6.080061071679999,2.1357751757347585,4.155906933686091,9.593004647919999,4.365580556,1.4798125412399998,0.2600309611201713,2.799799375748812,36.26387398526414,10.08,41,37,652,0,1500,25,4,134,213,363,2,10,6,0,1,98,4,103,13,272,195,2370,39.94,,,5549,,23.685,16/3/2020,99,5,74.8,30.1,0.88,16.1,5.4,-1.9,29,16.3,74.8,1.74,16.6,1,-1,-8,-11,87,75,77,84
Venezuela,14/3/2020,27/3/2020,15/3/2020,21/3/2020,26/3/2020,0.054473599076860967,0.36111111111111116,12.951493970008766,9.719899991234232,8.14697573,2.8568465746068177,1.4005474928052466,4.729300922069999,4.950648909616419,1.6153961065899998,1.0230288605632158,0.6729156457572999,19.864598226943528,9.18,38,27,325,0,958,13,20,107,141,119,1,6,2,33,0,61,3,350,0,339,30,1922,8,,3411,2154,,19.24,17/3/2020,82,5,71,30,-0.18,17.9,7.5,-3.4,125,27.9,71,2.26,25.6,3,2,-4,-10,87,74,75,81
