Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Kosovo,26/3/2020,26/3/2020,26/3/2020,26/3/2020,31/3/2020,0.06644456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,86,86
Kuwait,24/2/2020,,25/2/2020,2/3/2020,14/3/2020,0.072484069,,12.733314693731735,5.161070081559663,7.404889122,3.4857062525638702,0.7885240760861478,3.422064036,12.084279994811368,0.15784191132300002,0.012040715902790123,1.2761532029490787,29.092042277259463,13.59,0,40,632,0,1407,70,21,173,287,205,22,9,32,57,26,85,42,423,29,397,119,2814,20.4,,,,,25.789,1/3/2020,99,5,78.6,29.7,1.27,18,2.3,-3.3,12,6.5,78.6,2.26,37.9,6,5,-1,,,55,56,62
Kyrgyzstan,18/3/2020,,21/3/2020,27/3/2020,31/3/2020,0.13134159601202477,,20.483115222305862,6.448403799397997,4.115565223,2.8453791007075413,4.511841660940162,7.500168501569999,4.711790956695143,1.775879119,0.3007114619704289,2.7046726096187435,14.268920341555654,11.05,41,42,615,0,1280,16,3,50,172,368,5,13,1,52,3,173,34,246,22,136,139,2184,45.12,0.7,1868,994,592,18.76,16/3/2020,97,5,71.8,27.3,0.96,20.6,6.3,-5,60,23.3,71.8,2.54,16.6,-2,-5,-11,,,78,81,87
Laos,24/3/2020,,1/4/2020,,,0.094907407,,13.179821798330051,5.570101273359861,4.7443832651000015,4.0350787948959566,2.0276610435817517,19.536213727899998,3.7426154184004927,2.678517098,0.5549999104410068,1.8887800245154616,72.75014127184724,11.64,69,37,292,0,1797,7,48,253,182,9,8,8,72,25,21,150,25,94,1,89,124,2756,15,0.1,65,66,60,4.997,19/3/2020,83,5,65.7,24,1.44,22.4,7.2,-1,185,45.6,65.7,2.53,5.3,-5,-13,,,,84,92,
Latvia,2/3/2020,,11/3/2020,18/3/2020,20/3/2020,0.086097267,,31.361236866868573,14.838857999137234,4.631065232,2.227245089630606,1.7724285423068709,1.9248278901900002,6.506117124786849,0.914460123,0.066300182,0.2763347825260785,11.344314291160964,14.56,194,244,977,0,935,47,53,75,310,312,8,10,18,1,2,227,61,258,24,304,85,2192,58,0.73,1055,405,453,31.945999999999998,13/3/2020,94,5,75.4,44.4,-1.12,9.2,14.6,-5.9,19,5,75.4,1.53,23.6,11,2,-5,,,62,71,78
Lebanon,21/2/2020,10/3/2020,1/3/2020,11/3/2020,15/3/2020,0.039892652,0.12507215007215008,16.01039157,12.170817169651887,7.234590550559997,4.238388179515459,0.8794973728642905,2.325002055,7.498372147344098,0.23926957921300002,0.067689087,0.936131507,14.01322244216856,19.04,20,35,311,0,1228,8,16,120,123,125,9,3,57,60,5,83,22,382,59,435,88,2569,28.5,0.66,2547,941,486,22.71,2/3/2020,,,78.3,33.7,-6.68,13.6,5.4,-88.7,29,6.8,78.3,1.71,32,10,1,-9,-8,70,52,61,71
Liberia,16/3/2020,,,,,0.16666666666666666,,5.265591648797012,2.896302711350656,3.810151296,1.3815185621810775,1.1998807523401809,23.06191475,2.096449897894036,7.269734018,13.373916243173252,4.112199648487234,93.06163775751179,2.89,32,4,119,0,1078,4,11,72,89,6,4,5,23,7,0,344,2,63,5,357,20,2012,8,0.023,23,,,0.373,16/3/2020,74,5,64.7,18,2.71,37.3,7,-2.9,661,47.4,64.7,4.9,9.9,0,,,,,76,,
Libya,24/3/2020,2/4/2020,31/3/2020,,,0.6694444444444444,,16.889497813912364,8.714725371929383,8.447538707,3.0947588469085305,0.9235111132280766,3.156643515,6.434766361,0.432709134,0.5631029971613479,0.7218038955560295,20.933559583593162,7.66,,,,,,,,,,,,,,,,,,,,,,,37,0.5,,,,21.581,16/3/2020,99,5,76.7,25.8,1.94,23,3.5,-0.7,72,11.5,76.7,3.17,32.5,-8,-15,,-17,93,84,91,
Liechtenstein,4/3/2020,,18/3/2020,23/3/2020,,0.051143038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,78,83
Lithuania,28/2/2020,21/3/2020,15/3/2020,21/3/2020,22/3/2020,0.1046875467512662,0.11130952380952379,29.187540977759372,14.803065952180456,3.5795656838100003,2.3228006759388955,2.7322533313433714,2.0395734673900003,6.417709779056803,0.773288807,0.07288481,0.28230996141165043,14.363062080076276,13.87,227,182,1056,0,1075,58,66,80,395,346,3,9,21,88,11,91,16,422,22,240,68,2363,72.82,0.5,2429,1316,903,43.37,16/3/2020,97,5,75.5,44.5,-1.13,9.5,15,-5.9,5,3.8,75.5,1.6,26.3,17,1,-5,-5,81,59,75,81
